id,date,hour,type
1,2022-07-31,14:38,pico
2,2022-07-31,14:41,pico
3,2022-07-31,14:41,pico
4,2022-07-31,14:41,pico
5,2022-07-31,14:41,pico
6,2022-07-31,14:41,pico
7,2022-07-31,14:41,vale
8,2022-07-31,14:41,vale
9,2022-07-31,14:41,vale
10,2022-07-31,14:55,pico
11,2022-07-31,14:56,pico
12,2022-07-31,14:56,pico
13,2022-07-31,14:56,vale
14,2022-07-31,17:15,pico
15,2022-07-31,17:17,pico
16,2022-07-31,17:18,vale
17,2022-07-31,17:26,pico
18,2022-07-31,17:26,pico
19,2022-07-31,17:27,pico
20,2022-07-31,17:27,pico
21,2022-07-31,17:27,pico
22,2022-07-31,17:53,pico
23,2022-07-31,17:53,pico
24,2022-07-31,17:56,pico
25,2022-07-31,17:56,vale
